AF 103.224.127.49 103.251.176.65 210.80.0.251 103.18.160.145 
AL 193.254.1.1 80.91.112.137 93.159.192.14 93.159.192.22 
DZ 154.127.96.145 196.46.248.193 197.112.0.142 41.77.176.101 
AD 91.187.64.62 185.106.124.50 91.187.64.58 109.111.96.176 
AO 41.74.240.25 196.45.160.130 197.216.0.177 154.127.128.90 
AG 69.57.224.207 69.50.64.141 199.16.56.2 69.57.224.222 
AR 190.31.0.198 201.176.0.57 179.43.64.172 186.26.64.23 
AM 91.196.36.165 178.72.128.200 178.219.48.48 78.109.64.240 
AU 146.88.20.227 210.56.80.201 103.13.80.37 125.254.64.193 
AT 93.189.24.190 195.93.220.142 195.245.225.3 195.245.92.33 
AZ 185.81.80.250 77.244.112.4 109.235.192.57 185.12.16.113 
BS 108.60.224.148 24.231.32.53 108.60.224.88 24.51.64.103 
BH 188.116.192.42 151.248.96.51 80.95.208.72 80.88.240.157 
BD 180.211.128.2 114.129.8.5 103.15.244.161 45.127.48.189 
BB 205.214.192.14 198.56.56.64 198.56.56.205 198.56.56.127 
BY 31.130.200.3 91.149.128.102 77.67.192.101 185.99.132.86 
BE 185.37.8.254 185.69.164.150 91.212.186.13 94.224.0.170 
BZ 179.60.144.70 131.72.136.239 190.197.64.16 179.60.144.58 
BJ 154.127.32.41 41.216.32.58 41.222.192.20 196.46.152.114 
BT 103.29.224.221 103.245.240.65 103.29.224.54 103.29.224.60 
BO 181.114.96.98 201.222.64.9 200.58.160.41 200.90.144.7 
BA 185.58.92.131 185.18.152.122 185.18.152.189 134.90.128.179 
BW 41.216.208.205 41.216.208.123 197.231.192.64 169.255.80.38 
BR 186.235.96.202 177.129.84.23 177.84.144.224 177.190.128.2 
BN 202.160.16.95 119.160.128.44 119.160.128.5 103.230.64.168 
BG 178.132.80.173 94.236.192.13 212.104.96.206 84.238.176.9 
BF 41.78.48.169 41.203.224.44 41.78.48.241 196.28.240.186 
BI 154.70.196.7 154.73.104.41 196.2.8.130 41.79.44.236 
KH 110.74.192.53 202.8.72.104 119.15.80.182 103.194.84.60 
CM 41.223.92.101 41.77.208.179 196.202.232.65 41.204.64.103 
CA 208.75.116.85 208.67.144.74 207.161.0.157 45.42.72.48 
CV 41.74.128.86 41.215.208.35 41.74.128.227 41.79.124.58 
CF 41.78.120.200 41.78.120.198 41.223.184.174 41.223.184.248 
TD 197.149.128.14 154.73.160.7 197.149.128.42 197.149.128.96 
CL 181.43.0.142 201.239.128.81 200.104.64.31 131.221.32.126 
CN 103.59.100.29 180.160.0.7 45.116.12.150 124.224.0.85 
CY 46.198.0.66 46.21.48.108 62.152.0.228 46.103.0.161 
CO 186.27.128.35 190.27.0.179 200.73.0.125 190.0.0.207 
KM 197.255.224.29 197.255.224.36 197.255.224.44 197.255.224.29 
CG 169.255.120.6 41.190.72.89 41.190.72.54 41.190.72.65 
CR 186.15.64.158 179.63.96.162 179.63.184.193 201.220.29.251 
HR 5.39.128.227 185.103.216.61 89.17.0.178 46.229.240.27 
CU 200.0.24.35 200.0.16.161 200.0.16.7 200.55.176.196 
CZ 193.108.108.38 176.118.208.35 78.41.8.249 91.228.100.100 
DK 193.242.155.93 86.52.0.48 193.0.60.222 185.17.216.100 
DJ 41.189.224.132 196.201.192.86 41.189.224.132 196.201.192.77 
DO 190.167.0.199 148.101.0.21 190.167.0.123 190.211.176.52 
DM 198.101.28.33 198.101.28.42 198.101.28.111 104.245.204.84 
TL 150.242.108.9 43.254.56.49 103.30.112.2 103.26.95.93 
EG 41.222.168.72 196.221.0.110 41.232.0.64 196.204.0.100 
GQ 41.222.112.98 41.79.48.8 41.222.112.36 41.222.112.150 
EC 200.25.160.79 186.43.128.245 200.25.128.16 200.77.188.204 
ER 196.200.96.4 196.200.96.7 196.200.96.109 196.200.96.111 
EE 185.4.72.25 213.168.0.20 89.235.192.156 5.34.240.61 
ET 197.156.64.54 197.156.64.18 197.156.64.147 197.156.64.34 
FJ 183.81.128.33 119.235.64.92 202.151.16.9 183.81.128.245 
PH 203.160.160.48 103.17.20.225 103.29.250.145 124.83.0.82 
FI 80.83.0.26 91.237.151.207 91.223.116.158 94.199.112.64 
FR 185.103.140.22 185.18.80.133 195.54.62.39 178.19.0.116 
GA 41.78.96.171 41.158.0.2 41.76.120.12 154.66.232.85 
GM 197.255.192.25 212.60.64.201 196.46.232.252 41.76.8.88 
GE 85.114.224.19 94.137.160.164 176.73.0.94 81.95.160.243 
DE 91.64.0.181 89.107.64.166 213.153.76.39 82.96.64.182 
GH 41.190.88.73 196.201.32.217 41.75.48.34 41.242.136.81 
GD 162.245.152.50 199.85.236.69 199.85.236.206 199.85.236.84 
GR 46.12.0.125 31.177.56.92 195.47.208.6 195.74.224.224 
GT 190.115.0.14 200.114.112.97 186.64.104.84 181.189.144.33 
GW 197.214.80.1 197.214.80.72 197.214.80.133 197.214.80.33 
GN 41.79.200.14 41.77.184.2 41.223.48.71 41.223.48.49 
